Brand,Model,Type,Price,Quality Rating,Brand,Type,Model,Cores,Speed (GHz),Speed Rating,SSD,RAM,Memory Rating,Brand,Model,USB Ports,Other Connections,Operating System,Display Size,Resolution Width x Height,Touchscreen,Display Rating,Weight,Hyperlink
HP,Chromebook 14-ep0008ca,Student,449.99,6,Intel,Alder Lake,N100,4,3.4,3,256,8,5,Intel,UHD Graphics 600,2,USB-C; heaphone/microphone combo; AC Smart Pin; HDMI port,Windows 11,14,1366 x 768,No,3,3.28,https://www.bestbuy.ca/en-ca/product/hp-14-laptop-jet-black-intel-processor-n100-256gb-ssd-8gb-ram-windows-11-home/17478231
Acer,Aspire 1 A115-32-C9P5,Student,399.99,7,Intel,Celeron,N4500,2,2.8,2,128,4,3,Intel,UHD Graphics 600,3,HDMI; 3.5 mm headphone/spaker; ,Windows 11,15.6,1920 x 1080,No,3.5,3.64,https://www.bestbuy.ca/en-ca/product/acer-aspire-1-15-6-laptop-w-1-year-of-microsoft-365-silver-intel-icd-128gb-emmc-4gb-ram-win-11-s/15743184
Lenovo,IdeaPad 82V6007ECF,Student,319.99,5,Intel,Celeron,N4020,2,1.1,1,128,4,3,Intel,UHD Graphics 600,1,Headphone Jack,Windows 11,14,1366 x 768,No,3,3.09,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-1-14-laptop-cloud-grey-intel-celeron-128gb-emmc-ssd-4gb-ram/17195675
ASUS,CX1400CKA-BS01-CB,Student,429.99,6,Intel,Celeron,N4500,2,1.1,1,64,8,2,Intel,UHD Graphics 600,2,Headphone Jack,ChromeOS,14,1920 x 1080,No,3.5,3.24,https://www.bestbuy.ca/en-ca/product/asus-cx1-14-chromebook-transparent-silver-intel-celeron-n4500-64gb-emmc-8gb-ram-chrome-os/16998152
Chromebook,14a-ca1008ca,Student,479.99,5,Intel,Celeron,N4500,2,2,2,128,4,3,Intel,UHD Graphics 600,1,Headphone Jack,ChromeOS,14,1920 x 1080,Yes,4,3.28,https://www.bestbuy.ca/en-ca/product/hp-x360-14-touchscreen-2-in-1-chromebook-silver-intel-celeron-n4500-128gb-ssd-4gb-ram-chrome-os/16982677
ASUS,Vivobook Go 12,Student,281.85,6,Intel,Celeron,N4500,2,1.1,1,64,4,2,Intel,UHD Graphics 600,3,Headphone Jack,Windows 11,11.6,1366 x 768,No,3,2.3,https://www.amazon.ca/Vivobook-Processor-Microsoft-Personal-L210MA-BH09-CB/dp/B09Z756H4C/
HP,Chromebook 15a-na0006ca,Student,481.43,6,Intel,Celeron,N4500,2,2.8,3,128,8,3,Intel,UHD Graphics 600,3,Headphone Jack,ChromeOS,15.6,‎1366 x 768,No,2,5.4,https://www.amazon.ca/dp/B0BXMJC26H/
ASUS,CM14 14,Student,359.99,7,MediaTek,Kompanio,520,8,2,4,64,4,2,ARM,Mali-G52 MC2,3,Headphone Jack,ChromeOS,14,1920 x 1080,No,3.5,3.2,https://www.bestbuy.ca/en-ca/product/asus-cm14-14-chromebook-gravity-grey-mediatek-kompanio-520-64gb-emmc-4gb-ram-chrome-os/17631512
ASUS,‎VivoBook Go 14,Student,480.36,6,Intel,Celeron,N4500,2,2.8,3,128,4,3,Intel,UHD Graphics 600,3,Headphone Jack,Windows 11,14,‎1366 x 768,Yes,4,3.2,https://www.amazon.ca/VivoBook-Celeron-Microsoft-Personal-J1401KA-AS01-CA/dp/B09T8S3N4D/
HP,15a-na0010ca,Student,499.99,7,Intel,Celeron,N4500,2,2.8,3,128,8,4,Intel,UHD Graphics 600,3,2 USB-c; heaphone jack,Chrome OS,15.6,1920 x 1080,No,4,3.7,https://www.bestbuy.ca/en-ca/product/hp-15-6-chromebook-mineral-silver-intel-celeron-n4500-128gb-8gb-ram-chrome-os/16647488
Acer,CB317,Student,549.99,7,Intel,Celeron ,N4500,2,1.1,1,128,8,3,Intel,UHD Graphics (Jasper Lake 16 EU),5,3.5 mm Headphone/Speaker Jack,Chrome OS,17.3,1920 x 1080,No,5,5.18,https://www.bestbuy.ca/en-ca/product/acer-cb317-17-3-chromebook-silver-intel-celeron-n4500-128gb-emmc-8gb-ram-chrome-os/16250531
HP,Pavilion 15,Professional,999.99,7.5,AMD,Ryzen 5,7530U,6,2,4,1000,16,9,AMD,Radeon RX Vega 7,3,Headphone/Microphone Combo; AC Smart Pin; HDMI 2.1,Windows 11,15,1920 x 1080,Yes,5.5,3.86,https://www.bestbuy.ca/en-ca/product/hp-pavilion-15-touchscreen-laptop-natural-silver-amd-ryzen-5-7530u-1tb-ssd-16gb-ram-windows-11/16982681
ASUS,TUF Gaming F15,Gaming,899.97,7.5,Intel,Core i5,11400H,6,2.8,5,512,16,7,NVIDA,GeForce RTX 2050,4,1 x RJ45 LAN port; 1 x HDMI,Windows 11,16.3,1920 x 1080,No,5,5.07,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-f15-15-6-gaming-laptop-black-intel-core-i5-11400h-512gb-ssd-16gb-ram-rtx-2050/16693540
ASUS,VivoBook 14 X415,Student,549.00,6,Intel,Core™ i3,1115G4,2,1.7,2,256,8,5,Intel ,UHD Graphics Xe G4,4,HDMI,Windows 11,14,1920 x 1080,No,5,3.5,https://www.amazon.ca/VivoBook-i3-1115G4-Processor-Graphics-X415EA-AS31-CA/dp/B09T86WD7T/
Acer,Aspire 3 A315-24P-R7VH,Professional,606.53,7,AMD,Ryzen 3,7320U,4,4.1,5,128,8,3,AMD,Radeon 610M,3,HDMI,Windows 11,15.6,1920 x 1080,No,5,3.97,https://www.amazon.ca/Acer-Aspire-RadeonTM-Graphics-Windows/dp/B0BS4BP8FB/
Lenovo,Ideapad 3,Student ,519.00,6.5,Intel,Core i3,1115G4,2,3,3,256,8,5,Intel,UHD Graphics Xe G4,4,HDMI,Windows 11,15.6,1366 x 768,Yes,4.5,3.6,https://www.amazon.ca/Lenovo-Ideapad-Touchscreen-i3-1115G4-Processor/dp/B08B6F1NNR/
ASUS,Chromebook Flip C434,Student,817.41,6,Intel,Core M3,3-8100Y,2,4,4,32,4,0,Intel,UHD Graphics 615,1,N/A,Chrome OS,14,1920 x 1080,Yes,5.5,3.1,https://www.amazon.ca/Chromebook-Touchscreen-NanoEdge-Processor-C434TA-DH342T/dp/B089LZVJW8/
HP,Victus 15.6,Gaming,999.97,8,Intel,Core i5 ,13420H,8,1.5,5,512,8,6,NVIDA,GeForce RTX 3050,4,HDMI,Windows 11,15.6,1920 x 1080,No,4,5.05,https://www.walmart.ca/en/ip/HP-Victus-15-6-Full-HD-144Hz-Gaming-Laptop-Intel-Core-i5-13420H-8GB-Memory-NVIDIA-GeForce-RTX-3050-512GB-SSD-Performance-Blue/69O4L8XVGJCX
Microsoft,Surface Laptop Go 2,Professional,699.98,7,Intel,Core i5,1135G7,4,2.4,4,256,8,4,Intel,Iris Xe Graphics,1,Headphone Jack,Windows 11,12.5,1536 x 1024,Yes,3.5,2.48,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-go-2-12-4-touchscreen-laptop-sandstone-intel-i5-1135g7-256gb-ssd-8gb-ram-en/16157718
Acer ,Nitro 5,Gaming,949.97,8.5,Intel,Core i5,12450H,8,4.4,7,1000,16,9,Intel,UHD Graphics 12th Gen,6,HDMI 2.1 port; DisplayPort over USB-C,Windows 11,15.6,1920 x 1080,No,5,5.51,https://www.bestbuy.ca/en-ca/product/acer-nitro-5-15-6-gaming-laptop-black-intel-core-i5-12450h-1tb-ssd-16gb-ram-rtx-3050-windows-11/17042191
Apple,MacBook Air 15,Professional,1999,8.5,Apple,M3,,8,4.05,7,512,8,6,Apple,M3,4,MagSafe charging port,MacOS,15,2880 x 1864,No,6,3.3,https://www.apple.com/ca/shop/buy-mac/macbook-air/15-inch-midnight-apple-m3-chip-with-8-core-cpu-and-10-core-gpu-8gb-memory-512gb
Acer,Predator Neo 16,Gaming,1699.99,7.5,Intel ,Core i5,13500HX,14,4.7,8,1000,6,6,NVIDIA,GeForce RTX 4050,4,HDMI; Headphone,Windows 11,16,1920 x 1200,No,6,5.73,https://www.bestbuy.ca/en-ca/product/acer-predator-neo-16-gaming-laptop-steel-grey-intel-core-i5-13500hx-1tb-ssd-16gb-ram-rtx-4050/17042196/
ASUS,Zenbook S 13 OLED,Professional,1599,7.5,Intel ,Core i5,Ultra 7,16,4.8,9,1000,32,10,Intel,Iris Xe Graphics,3,HDMI; Headphone,Windows 11,13.3,2880 X 1800,No,6.5,2.2,https://www.bestbuy.ca/en-ca/product/asus-zenbook-s-13-13-3-oled-laptop-basalt-grey-intel-core-ultra-7-155u-1tb-ssd-16gb-ram-win-11-home-en/17721209
Lenovo,IdeaPad Flex,Professional,1099.99,7,AMD,Ryzen 5,7530U,6,2,4,512,16,7,AMD,Radeon Graphics,3,Card Reader; Headphone,Windows 11,14,1920 x 1200,Yes,6,3.42,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-flex-5-14-touchscreen-2-in-1-laptop-arctic-grey-amd-ryzen-5-7530u-512gb-ssd-16gb-ram/16948044
Dell,G15,Gaming,1499,8,Intel,Core i7,13650HX,14,2.6,7,512,16,7,NVIDIA,GeForce RTX 4060,4,HDMI; Headphone,Windows 11,15.6,1920 x 1080,No,6,6.19,https://www.bestbuy.ca/en-ca/product/dell-g15-15-6-gaming-laptop-dark-shadow-grey-intel-core-i7-13650hx-512gb-ssd-16gb-ram-geforce-rtx-4060/17180646
MSI,Cyborg 15 A12U,Gaming,1049.99,7.5,Intel,Core i5,12450H,8,4.4,7,512,8,6.5,NVIDIA,GeForce RTX 2050,3,Headphone,Windows 11,15.6,1920 x 1080,No,6.5,4.37,https://www.bestbuy.ca/en-ca/product/msi-cyborg-15-a12u-15-6-gaming-laptop-black-intel-core-i5-12450h-512gb-ssd-8gb-ram-geforce-rtx-2050/17539021
Dell,Inspiron 15 3520,Student,1149.95,6.5,Intel,Core i7,1255U,10,1.7,6,1000,16,9,Intel,Intel Iris Xe Graphics,3,Card Reader; HDMI; Headphone,Windows 11,15.6,1920 x 1080,No,7,3.64,https://www.bestbuy.ca/en-ca/product/dell-inspiron-15-3520-15-6-laptop-carbon-black-intel-core-i7-1255u-1tb-ssd-16gb-ram-win-11/17090100
Acer,Nitro 5,Gaming,1499.99,7.5,Intel,Core i7,12650H,10,4.7,8,512,16,8,NVIDIA,GeForce RTX 4050,4,HDMI; Headphone,Windows 11,15.6,1920 x 1080,No,6.5,5.51,https://www.bestbuy.ca/en-ca/product/acer-nitro-5-15-6-gaming-laptop-black-intel-ci7-12650h-512gb-ssd-16gb-ram-geforce-rtx-4050-win11/17224413
Microsoft,Surface Laptop 5,Professional,1799.99,8,Intel,Evo i5,1235U,10,1.3,5,512,8,7.5,Intel,Iris Xe Graphics,2,Headphone,Windows 11,13.5,2256 x 1504,Yes,6,2.86,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-5-touchscreen-13-5-sandstone-intel-evo-i5-1235u-512gb-ssd-8gb-ram-en-exclusive-retail-partner/16483501
ASUS,ROG Zephyrus G14 14,Gaming,1999.95,8,AMD,Ryzen 9,7940HS,8,4,6,512,16,8,NVIDIA,GeForce RTX 4060,4,HDMI; Headphone,Windows 11,14,2560 x 1600,No,6.5,3.64,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-g14-14-gaming-laptop-amd-ryzen-9-7940hs-512gb-ssd-16gb-ram-geforce-rtx-4060/16690991
Apple,MacBook Pro,Student,2599.99,9,Apple,M2,Pro,12,3.4,6,512,16,8,Apple,Apple M2 Pro,4,USB-C to MagSafe 3 Cable; 140W USB-C Power Adapter,MacOS,16.2,3456 x 2234,No,8,4.74,https://www.bestbuy.ca/en-ca/product/apple-macbook-pro-16-2023-space-grey-apple-m2-pro-512gb-ssd-16gb-ram-english/16670259
Leveno,Legion Slim 7i,Gaming,2799.99,8.5,Intel,Core i9,13900H,14,2.6,6,1000,16,9.5,NVIDIA,GeForce RTX 4070,2,Shared Mic/Headphone jack,Windows 11,16,2560 x 1600,No,8.5,4.41,https://www.bestbuy.ca/en-ca/product/lenovo-legion-slim-7i-16-gaming-laptop-storm-grey-intel-i9-13900h-1tb-ssd-16gb-ram-geforce-rtx-4070/17083120
Alienware,m18,Gaming,4100.99,9.5,Intel,Core i9,13900HX,24,2.2,9,1000,32,10,NVIDIA ,GeForce RTX 4080,6,Mini display; HDMI; ComboJack,Windows 11,18,1920 x 1200,No,7.5,8.91,https://www.bestbuy.ca/en-ca/product/dell-alienware-m18-18-gaming-laptop-dark-metallic-moon-intel-ci9-13900hx-1tb-ssd-32gb-ram-geforce-rtx-4080/17182563
Acer,Predator Helios,Gaming,2599.99,9,Intel,Core i7,13700HX,16,5,7,1000,32,10,NVIDIA,RTX 4060,5,HDMI; Display port; Headphone,Windows 11,16,2560 X 1600,No,9,5.73,https://www.bestbuy.ca/en-ca/product/acer-predator-helios-16-gaming-laptop-black-intel-core-i7-13700hx-1tb-ssd-32gb-ram-rtx-4060-win-11/17042195
ASUS,Zephyrus Duo 16,Gaming,4499,10,Intel,Core i7,11800H,16,2.5,7,512,32,9,NVIDIA,RTX 4080,5,HDMI; combojack,Windows 11,16,2560 x 1600,No,7.5,6.17,https://www.bestbuy.ca/en-ca/product/asus-zephyrus-duo-16-2023-gx650-ryzen-9-7945hx-16-qhd-240hz-display-geforce-rtx-4080-32gb-ddr5-1tb-ssd-wifi-6e-bt-5-2-windows-11-pro-gx650pz-xs96/17236591
ASUS,ROG Strix G16,Gaming,2299,8,Intel,Core i9,13980HX,24,2.2,9,1000,16,9.5,NVIDIA,GeForce RTX 4060,4,Headphone Jack,Windows 11,16,‎2560 x 1600,No,8,10.2,https://www.amazon.ca/ASUS-Gaming-Laptop-Nebula-Display/dp/B0CB9DJVCY/
Dell,G16 7630,Gaming,2179.9,7.5,Intel,Core i9,13900HX,24,5.4,10,1000,16,9.5,NVIDIA,GeForce RTX 4070,3,Headphone Jack,Windows 11,16,2560 x 1600,No,8,6.01,https://www.dell.com/en-ca/shop/gaming-laptops/g16-gaming-laptop/spd/g-series-16-7630-laptop/caeghbts7630glrf
Microsoft,Surface Laptop 5,Professinal,2209,8.5,Intel,Core i7,1255U,10,1.7,7,512,16,8,Intel,Lpddr 5,1,N/A,Windows 11,13.5,2880 x 1800,Yes,8,2.68,https://www.amazon.ca/Microsoft-Surface-Laptop-Touchscreen-Keyboard/dp/B0B8Q4K696/
Razer,Blade 15,Gaming,3580,9.5,Intel,Core i7,12800H,14,2.5,8,2000,32,10,NVIDIA,RTX 4060,3,Headphone Jack,Windows 11,15.6,2560 x 1440,No,9,8.7,https://www.amazon.ca/Razer-Blade-Gaming-Laptop-Thunderbolt/dp/B0CK55675X/
MSI,Vector GP77,Gaming,2599.99,9,Intel,Core i9,13900H,6,2.6,5,1000,32,9.5,NVIDIA,GeForce RTX 4070,4,HDMI; Mini displayport,Windows 11,17.3,2560 x 1440,No,9,6.39,https://www.bestbuy.ca/en-ca/product/msi-vector-gp77-17-3-gaming-laptop-core-black-intel-core-i9-13900h-1tb-ssd-32gb-ram-geforce-rtx-4070/16680671